"####"
"000045: 37.280641, 127.077029"
"000132: 37.280236, 127.076093"
"004222: 37.278871, 127.074413"
"004259: 37.280414, 127.076413"
"104402: 37.279927, 127.078992"
"104434: 37.278129, 127.079132"
"104502: 37.277894, 127.077763"
"104532: 37.278333, 127.074560"
"104603: 37.279085, 127.074274"
"104632: 37.278408, 127.076010"
"104702: 37.278370, 127.076044"
"104732: 37.278279, 127.074655"
"104803: 37.277908, 127.071413"
"104832: 37.278580, 127.071326"
"104902: 37.278075, 127.071233"
"104933: 37.276204, 127.070676"
"105002: 37.276641, 127.067040"
"105032: 37.276281, 127.066884"
"105106: 37.276424, 127.068675"
"105132: 37.276270, 127.067024"
"105203: 37.276274, 127.067052"
"105232: 37.272467, 127.064645"
"105309: 37.268874, 127.058712"
"105332: 37.267954, 127.056673"
"105402: 37.267280, 127.055744"
"105433: 37.267302, 127.055597"
"105502: 37.267232, 127.055819"
"105532: 37.267258, 127.055578"
"105602: 37.265777, 127.051673"
"105632: 37.262625, 127.049809"
"105702: 37.259671, 127.048399"
"105732: 37.258000, 127.048922"
"105802: 37.257073, 127.050422"
"105832: 37.256310, 127.052344"
"105902: 37.256456, 127.053258"
"110208: 37.257654, 127.056018"
"110232: 37.257416, 127.053520"
"110302: 37.256704, 127.054129"
"110332: 37.256571, 127.054087"
"110402: 37.256216, 127.054131"
"110432: 37.256135, 127.054356"
"110502: 37.255907, 127.054401"
"110532: 37.256261, 127.054698"
"110602: 37.256288, 127.054476"
"110632: 37.256500, 127.054591"
"110702: 37.256586, 127.054451"
"110732: 37.256868, 127.055054"
"110802: 37.257169, 127.055037"
"110832: 37.257399, 127.054524"
"110902: 37.257560, 127.054699"
"110932: 37.257721, 127.054566"
"111002: 37.258259, 127.054736"
"111032: 37.257053, 127.054730"
"112717: 37.258669, 127.055213"
"112747: 37.258652, 127.055245"
"112817: 37.258659, 127.055234"
"112848: 37.258735, 127.055160"
"112918: 37.258906, 127.054015"
"113949: 37.257913, 127.054769"
"114149: 37.257856, 127.054798"
"114209: 37.257987, 127.054861"
"114249: 37.257754, 127.054733"
"114319: 37.257748, 127.054726"
"114349: 37.257741, 127.054728"
"114419: 37.257738, 127.054727"
"115128: 37.256393, 127.053194"
"115202: 37.256747, 127.051667"
"115232: 37.257499, 127.050138"
"115302: 37.258394, 127.048197"
"115332: 37.259606, 127.048570"
"115402: 37.262455, 127.049826"
"115432: 37.262507, 127.049896"
"115502: 37.262758, 127.049785"
"115532: 37.262612, 127.049874"
"115602: 37.263280, 127.050145"
"115632: 37.265863, 127.052375"
"115702: 37.267529, 127.056318"
"115732: 37.269004, 127.059226"
"115802: 37.269086, 127.059574"
"115832: 37.269951, 127.060584"
"115902: 37.270653, 127.060264"
"115934: 37.271599, 127.057853"
"120002: 37.272279, 127.055985"
"120032: 37.272908, 127.054302"
"120102: 37.273628, 127.053663"
"120138: 37.272699, 127.054952"
"120202: 37.274692, 127.053057"
"120232: 37.274861, 127.051964"
"120302: 37.274924, 127.052019"
"120332: 37.274946, 127.051996"
"120402: 37.275639, 127.050775"
"120432: 37.277095, 127.049155"
"120502: 37.277071, 127.049141"
"120532: 37.277117, 127.049184"
"120602: 37.277895, 127.047721"
"120633: 37.279731, 127.044136"
"120702: 37.281794, 127.040412"
"120732: 37.282805, 127.038764"
"120802: 37.282792, 127.038578"
"120832: 37.282810, 127.038579"
"120902: 37.282788, 127.038623"
"120932: 37.283239, 127.038062"
"121002: 37.286036, 127.034793"
"121032: 37.289233, 127.031619"
"121102: 37.289292, 127.031324"
"121132: 37.289993, 127.030931"
"121202: 37.290279, 127.030557"
"121232: 37.290510, 127.030199"
"121302: 37.291397, 127.029376"
